Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
6/1/2007 0:00,"1,036",3.044,97.2
7/1/2007 0:00,"1,163",3.044,111
8/1/2007 0:00,"1,232",3.044,118.49
9/1/2007 0:00,"1,314",3.044,127.4
10/1/2007 0:00,"1,092",3.044,103.28
11/1/2007 0:00,779,3.044,64.26
12/1/2007 0:00,798,3.044,65.98
1/1/2008 0:00,911,3.653,81.77
2/1/2008 0:00,814,3.653,72.39
3/1/2008 0:00,704,3.653,61.75
4/1/2008 0:00,684,3.653,59.81
5/1/2008 0:00,792,3.653,75.52
6/1/2008 0:00,"1,233",3.653,126.11
7/1/2008 0:00,"1,413",3.653,146.76
8/1/2008 0:00,"1,407",3.653,146.08
9/1/2008 0:00,"1,306",3.653,134.49
10/1/2008 0:00,"1,004",3.653,99.84
11/1/2008 0:00,686,3.653,60.01
12/1/2008 0:00,732,3.653,64.46
1/1/2009 0:00,906,3.653,81.29
2/1/2009 0:00,708,3.653,62.13
3/1/2009 0:00,653,3.653,56.81
4/1/2009 0:00,664,3.653,57.88
5/1/2009 0:00,794,3.653,75.75
6/1/2009 0:00,"1,115",3.653,112.57
7/1/2009 0:00,"1,511",3.653,158.01
8/1/2009 0:00,"1,457",3.653,151.81
9/1/2009 0:00,"1,353",3.653,139.88
10/1/2009 0:00,924,3.653,90.66
11/1/2009 0:00,682,3.653,59.62
12/1/2009 0:00,753,3.653,66.49
1/1/2010 0:00,997,3.653,90.09
2/1/2010 0:00,808,3.653,71.81
3/1/2010 0:00,807,3.653,71.71
4/1/2010 0:00,628,3.653,54.4
5/1/2010 0:00,707,3.653,65.76
6/1/2010 0:00,"1,098",3.653,110.62
7/1/2010 0:00,"1,321",3.653,136.21
8/1/2010 0:00,"1,336",3.653,137.93
9/1/2010 0:00,"1,411",3.653,146.53
10/1/2010 0:00,946,3.653,93.18
11/1/2010 0:00,696,3.653,61.54
12/1/2010 0:00,736,3.653,65.45
1/1/2011 0:00,862,3.105,73.01
2/1/2011 0:00,884,3.105,75.04
3/1/2011 0:00,701,3.105,58.19
4/1/2011 0:00,713,3.105,59.3
5/1/2011 0:00,901,3.105,83.82
6/1/2011 0:00,"1,213",3.105,118.16
7/1/2011 0:00,"1,481",3.105,147.66
8/1/2011 0:00,"1,527",3.105,152.73
9/1/2011 0:00,"1,565",3.105,156.91
10/1/2011 0:00,993,3.615,93.95
11/1/2011 0:00,732,3.615,65.23
12/1/2011 0:00,710,3.615,63.08
1/1/2012 0:00,882,3.615,74.03
2/1/2012 0:00,663,3.615,58.48
3/1/2012 0:00,683,3.615,60.44
4/1/2012 0:00,731,3.615,65.13
5/1/2012 0:00,865,3.615,84.81
6/1/2012 0:00,"1,175",3.615,120.7
7/1/2012 0:00,"1,304",3.615,135.64
8/1/2012 0:00,"1,380",3.615,144.44
9/1/2012 0:00,"1,281",3.372,132.98
10/1/2012 0:00,871,3.372,80.31
11/1/2012 0:00,735,3.375,66.37
12/1/2012 0:00,659,3.372,58.57
1/1/2013 0:00,903,3.372,83.59
2/1/2013 0:00,651,3.372,57.76
3/1/2013 0:00,617,3.372,54.26
4/1/2013 0:00,630,3.372,55.6
5/1/2013 0:00,733,3.372,66.17
6/1/2013 0:00,"1,071",3.372,122.81
7/1/2013 0:00,"1,281",3.372,151.69
8/1/2013 0:00,"1,382",3.372,165.58
9/1/2013 0:00,"1,295",3.372,153.62
10/1/2013 0:00,940,3.372,87.39
11/1/2013 0:00,666,3.709,62.72
12/1/2013 0:00,828,3.709,80.15
1/1/2014 0:00,954,3.709,93.72
2/1/2014 0:00,837,3.709,81.13
3/1/2014 0:00,693,3.709,65.61
4/1/2014 0:00,625,3.709,58.3
5/1/2014 0:00,726,3.709,69.18
6/1/2014 0:00,970,3.709,114.23
7/1/2014 0:00,"1,182",3.709,144.15
8/1/2014 0:00,"1,265",3.709,156
9/1/2014 0:00,"1,313",3.709,162.84
10/1/2014 0:00,883,3.709,86.08
11/1/2014 0:00,736,3.945,72.76
12/1/2014 0:00,674,3.945,65.41
1/1/2015 0:00,924,3.945,93.01
2/1/2015 0:00,703,3.945,68.6
3/1/2015 0:00,773,3.945,76.34
4/1/2015 0:00,643,3.945,62
5/1/2015 0:00,715,3.945,69.93
6/1/2015 0:00,916,3.945,109.61
7/1/2015 0:00,"1,164",3.945,144.74
8/1/2015 0:00,"1,356",3.945,172.65
9/1/2015 0:00,"1,247",3.945,156.81
10/1/2015 0:00,987,3.945,99.97
11/1/2015 0:00,673,3.139,63.07
12/1/2015 0:00,657,3.139,61.34
1/1/2016 0:00,788,3.139,75.38
2/1/2016 0:00,663,3.139,61.99
3/1/2016 0:00,602,3.139,55.46
4/1/2016 0:00,612,2.783,54.34
5/1/2016 0:00,702,2.783,63.67
6/1/2016 0:00,963,2.783,109.3
7/1/2016 0:00,"1,258",2.783,149.75
8/1/2016 0:00,"1,251",2.783,148.78
9/1/2016 0:00,"1,166",2.783,137.01
10/1/2016 0:00,940,2.783,88.3
11/1/2016 0:00,728,2.727,65.48
12/1/2016 0:00,671,2.727,59.65
1/1/2017 0:00,778,2.727,76.25
2/1/2017 0:00,607,2.727,58.35
3/1/2017 0:00,610,2.727,58.67
4/1/2017 0:00,658,2.727,63.69
5/1/2017 0:00,708,2.727,68.94
6/1/2017 0:00,959,2.829,96.17
7/1/2017 0:00,"1,246",2.829,131.36
8/1/2017 0:00,"1,277",2.829,135.26
9/1/2017 0:00,"1,128",2.829,116.56
10/1/2017 0:00,888,2.727,87.78
11/1/2017 0:00,660,2.936,65.42
12/1/2017 0:00,637,2.936,62.96
1/1/2018 0:00,887,2.936,89.68
2/1/2018 0:00,757,2.936,75.78
3/1/2018 0:00,600,2.936,59
4/1/2018 0:00,626,2.936,61.78
5/1/2018 0:00,686,2.936,68.19
6/1/2018 0:00,"1,144",3.007,120.82
7/1/2018 0:00,"1,183",3.007,125.78
8/1/2018 0:00,"1,311",3.007,142.1
9/1/2018 0:00,"1,224",3.007,131.02
10/1/2018 0:00,819,2.936,82.41
11/1/2018 0:00,685,2.895,68.01
12/1/2018 0:00,663,2.895,65.67
1/1/2019 0:00,761,2.895,76.13
2/1/2019 0:00,707,2.895,70.38
3/1/2019 0:00,658,2.895,65.13
